"","PID","Predicted2018"
"83","0500254018",1433048.16196174
"84","2100873080",1086864.40244482
"85","2100873080",1086864.40244482
"86","2100873080",1086864.40244482
"87","2100873080",1086864.40244482
"88","0402477002",4140164.13582253
"89","1901952002",1148820.79233931
"90","0303117004",2152542.76750561
"91","1300176002",670035.287132295
"92","0703135002",1002095.31195758
"93","0703135002",1002095.31195758
"94","0702389002",1281423.16873701
"95","0400748002",3533370.72541734
"96","0501122002",2518670.25582607
"97","1001612002",8944706.15263562
"98","1001612002",8944706.15263562
"99","2205550406",1251102.60048127
"100","2205550406",1251102.60048127
"101","2205550406",1251102.60048127
"102","2205550406",1251102.60048127
"103","2205550406",1251102.60048127
"104","2205550406",1251102.60048127
"105","2205550618",1500167.29095712
"106","2205550618",1500167.29095712
"107","2205550618",1500167.29095712
"108","2205550618",1500167.29095712
"109","2205550618",1500167.29095712
"110","2205550618",1500167.29095712
"111","0500963002",1420990.83428656
"112","0700113002",733054.342569937
"113","0101399162",1574163.92028967
"114","1302562066",5467107.17263556
"115","1302562066",5467107.17263556
"116","0500176002",1750319.25092673
"117","2101749080",3727259.69718321
"118","0305864002",2353225.83911453
"119","0903640002",501257.25058581
"120","0700458002",1218966.16529661
"121","0203066002",1324008.19433136
"122","0203066002",1324008.19433136
"123","0203066002",1324008.19433136
"124","0200050002",908609.298876015
"125","0200050002",908609.298876015
"126","1904302002",675518.082918147
"127","1102393002",1061567.84103911
"128","0105392002",3697699.61150275
"129","0502522004",14732061.1895161
"130","0101541002",407637.311686082
"131","2205474002",1118309.85412323
"132","2205474002",1118309.85412323
"133","0604124002",1368466.04050156
"134","0202820002",2001149.61636326
"135","2100965014",1922901.66797187
"136","2100965014",1922901.66797187
"137","2200251002",956980.454143621
"138","0200533002",1149604.68871343
"139","1302782002",636680.418759299
"140","2101426036",4181695.15393066
"141","2102119006",943290.442933923
"142","2102119002",840626.333215896
"143","0203829004",979106.917558435
"144","0203829004",979106.917558435
"145","0200317002",1559080.19006306
"146","2005491002",663983.051715673
"147","2005491006",906267.655266676
"148","0301309002",13975914.3824063
"149","0301309002",13975914.3824063
"150","1100545002",761669.473369926
"151","1904627002",983303.09756787
"152","1402272002",650370.311721822
