"","PID","upid","regions"
"319","0200208002",1,"Charlestown"
"320","0200212012",1,"Charlestown"
"321","0200218002",1,"Charlestown"
"322","0200219002",1,"Charlestown"
"323","0200230008",1,"Charlestown"
"324","0200231002",1,"Charlestown"
"325","0200235002",1,"Charlestown"
"326","0200242002",1,"Charlestown"
"327","0200243002",1,"Charlestown"
"328","0200248002",1,"Charlestown"
"329","0200248012",1,"Charlestown"
"330","0200250008",1,"Charlestown"
"331","0200255002",1,"Charlestown"
"332","0200256002",1,"Charlestown"
"333","0200261002",1,"Charlestown"
"334","0200272002",1,"Charlestown"
"335","0200291002",1,"Charlestown"
"336","0200296002",1,"Charlestown"
"337","0200298002",1,"Charlestown"
"338","0200299002",1,"Charlestown"
"339","0200311002",1,"Charlestown"
"340","0200317002",1,"Charlestown"
"341","0200319002",1,"Charlestown"
"342","0200331002",1,"Charlestown"
"343","0200334002",1,"Charlestown"
"344","0200338002",1,"Charlestown"
"345","0200340008",1,"Charlestown"
"346","0200348002",1,"Charlestown"
"347","0200349002",1,"Charlestown"
"348","0200356002",1,"Charlestown"
"349","0200362002",1,"Charlestown"
"350","0200363002",1,"Charlestown"
"351","0200368002",1,"Charlestown"
"352","0200376002",1,"Charlestown"
"353","0200377002",1,"Charlestown"
"354","0200379002",1,"Charlestown"
"355","0200380002",1,"Charlestown"
"356","0200384002",1,"Charlestown"
"357","0200395002",1,"Charlestown"
"358","0200403002",1,"Charlestown"
"359","0200405002",1,"Charlestown"
"360","0200413002",1,"Charlestown"
"361","0200420002",1,"Charlestown"
"362","0200421002",1,"Charlestown"
"363","0200423002",1,"Charlestown"
"364","0200425002",1,"Charlestown"
"365","0200429002",1,"Charlestown"
"366","0200430002",1,"Charlestown"
"367","0200432002",1,"Charlestown"
"368","0200433002",1,"Charlestown"
"369","0200438002",1,"Charlestown"
"370","0200439006",1,"Charlestown"
"371","0200446002",1,"Charlestown"
"372","0200455002",1,"Charlestown"
"373","0200456012",1,"Charlestown"
"374","0200458002",1,"Charlestown"
"375","0200459002",1,"Charlestown"
"376","0200464002",1,"Charlestown"
"377","0200471002",1,"Charlestown"
"378","0200472002",1,"Charlestown"
"379","0200473024",1,"Charlestown"
"380","0200475012",1,"Charlestown"
"381","0200475018",1,"Charlestown"
"382","0200481002",1,"Charlestown"
"383","0200483002",1,"Charlestown"
"384","0200486002",1,"Charlestown"
"385","0200492002",1,"Charlestown"
"386","0200499002",1,"Charlestown"
"387","0200500002",1,"Charlestown"
"388","0200501002",1,"Charlestown"
"389","0200502002",1,"Charlestown"
"390","0200510002",1,"Charlestown"
"391","0200520002",1,"Charlestown"
"392","0200523002",1,"Charlestown"
"393","0200523004",1,"Charlestown"
"394","0200524002",1,"Charlestown"
"395","0200527002",1,"Charlestown"
"396","0200531002",1,"Charlestown"
"397","0200533002",1,"Charlestown"
"398","0200536002",1,"Charlestown"
"399","0200536004",1,"Charlestown"
"400","0200536006",1,"Charlestown"
"401","0200539002",1,"Charlestown"
"402","0200539004",1,"Charlestown"
"403","0200539006",1,"Charlestown"
"404","0200542024",1,"Charlestown"
"405","0200547002",1,"Charlestown"
"406","0200550002",1,"Charlestown"
"407","0200551004",1,"Charlestown"
"408","0200552002",1,"Charlestown"
"409","0200552008",1,"Charlestown"
"410","0200552014",1,"Charlestown"
"411","0200557002",1,"Charlestown"
"412","0200558002",1,"Charlestown"
"413","0200559002",1,"Charlestown"
"414","0200560002",1,"Charlestown"
"415","0200561002",1,"Charlestown"
"416","0200561004",1,"Charlestown"
"417","0200572002",1,"Charlestown"
"418","0200572008",1,"Charlestown"
"419","0200576012",1,"Charlestown"
"420","0200587002",1,"Charlestown"
"421","0200591012",1,"Charlestown"
"422","0200591018",1,"Charlestown"
"423","0200591024",1,"Charlestown"
"424","0200591030",1,"Charlestown"
"425","0200595002",1,"Charlestown"
"426","0200599002",1,"Charlestown"
"427","0200603002",1,"Charlestown"
"428","0200603008",1,"Charlestown"
"429","0200629002",1,"Charlestown"
"430","0200634012",1,"Charlestown"
"431","0200637012",1,"Charlestown"
"432","0200642002",1,"Charlestown"
"433","0200646002",1,"Charlestown"
"434","0200647002",1,"Charlestown"
"435","0200648002",1,"Charlestown"
"436","0200648008",1,"Charlestown"
"437","0200655002",1,"Charlestown"
"438","0200655006",1,"Charlestown"
"439","0200676002",1,"Charlestown"
"440","0200677002",1,"Charlestown"
"441","0200699002",1,"Charlestown"
"442","0200700002",1,"Charlestown"
"443","0200700012",1,"Charlestown"
"444","0200700014",1,"Charlestown"
"445","0200700016",1,"Charlestown"
"446","0200710002",1,"Charlestown"
"447","0200759002",1,"Charlestown"
"448","0200765002",1,"Charlestown"
"449","0200766002",1,"Charlestown"
"450","0200772002",1,"Charlestown"
"451","0200773002",1,"Charlestown"
"452","0200775002",1,"Charlestown"
"453","0200776002",1,"Charlestown"
"454","0200777022",1,"Charlestown"
"455","0200777024",1,"Charlestown"
"456","0200779002",1,"Charlestown"
"457","0200782002",1,"Charlestown"
"458","0200783002",1,"Charlestown"
"459","0200784002",1,"Charlestown"
"460","0200786002",1,"Charlestown"
"461","0200796002",1,"Charlestown"
"462","0200801002",1,"Charlestown"
"463","0200820002",1,"Charlestown"
"464","0200823002",1,"Charlestown"
"465","0200824002",1,"Charlestown"
"466","0200827002",1,"Charlestown"
"467","0200834002",1,"Charlestown"
"468","0200837002",1,"Charlestown"
"469","0200840002",1,"Charlestown"
"470","0200866002",1,"Charlestown"
"471","0200867002",1,"Charlestown"
"472","0200867006",1,"Charlestown"
"473","0200868002",1,"Charlestown"
"474","0200869002",1,"Charlestown"
"475","0200870002",1,"Charlestown"
"476","0200871002",1,"Charlestown"
"477","0200873002",1,"Charlestown"
"478","0200874002",1,"Charlestown"
"479","0200905002",1,"Charlestown"
"480","0200906006",1,"Charlestown"
"481","0200938002",1,"Charlestown"
"482","0200939002",1,"Charlestown"
"483","0200940002",1,"Charlestown"
"484","0200961016",1,"Charlestown"
"485","0200974002",1,"Charlestown"
"486","0200975002",1,"Charlestown"
"487","0200976502",1,"Charlestown"
"488","0201009002",1,"Charlestown"
"489","0201009004",1,"Charlestown"
"490","0201009008",1,"Charlestown"
"491","0201009012",1,"Charlestown"
"492","0201013022",1,"Charlestown"
"493","0201013042",1,"Charlestown"
"494","0201020002",1,"Charlestown"
"495","0201040002",1,"Charlestown"
"496","0201042002",1,"Charlestown"
"497","0201050002",1,"Charlestown"
"498","0201070012",1,"Charlestown"
"499","0201071002",1,"Charlestown"
"500","0201074002",1,"Charlestown"
"501","0201085002",1,"Charlestown"
"502","0201089002",1,"Charlestown"
"503","0201091002",1,"Charlestown"
"504","0201092002",1,"Charlestown"
"505","0201093002",1,"Charlestown"
"506","0201101002",1,"Charlestown"
"507","0201108002",1,"Charlestown"
"508","0201109002",1,"Charlestown"
"509","0201113002",1,"Charlestown"
"510","0201113004",1,"Charlestown"
"511","0201119002",1,"Charlestown"
"512","0201121002",1,"Charlestown"
"513","0201126002",1,"Charlestown"
"514","0201130002",1,"Charlestown"
"515","0201132002",1,"Charlestown"
"516","0201142002",1,"Charlestown"
"517","0201144002",1,"Charlestown"
"518","0201146002",1,"Charlestown"
"519","0201149002",1,"Charlestown"
"520","0201173002",1,"Charlestown"
"521","0201174002",1,"Charlestown"
"522","0201175002",1,"Charlestown"
"523","0201176002",1,"Charlestown"
"524","0201183002",1,"Charlestown"
"525","0201185002",1,"Charlestown"
"526","0201185004",1,"Charlestown"
"527","0201185006",1,"Charlestown"
"528","0201185008",1,"Charlestown"
"529","0201185014",1,"Charlestown"
"530","0201187002",1,"Charlestown"
"531","0201188002",1,"Charlestown"
"532","0201189002",1,"Charlestown"
"533","0201190002",1,"Charlestown"
"534","0201202002",1,"Charlestown"
"535","0201203002",1,"Charlestown"
"536","0201203006",1,"Charlestown"
"537","0201243002",1,"Charlestown"
"538","0201244002",1,"Charlestown"
"539","0201246002",1,"Charlestown"
"540","0201247002",1,"Charlestown"
"541","0201248002",1,"Charlestown"
"542","0201279002",1,"Charlestown"
"543","0201318002",1,"Charlestown"
"544","0201320002",1,"Charlestown"
"545","0201323002",1,"Charlestown"
"546","0201333002",1,"Charlestown"
"547","0201358012",1,"Charlestown"
"548","0201370012",1,"Charlestown"
"549","0201395002",1,"Charlestown"
"550","0201399002",1,"Charlestown"
"551","0201406002",1,"Charlestown"
"552","0201460002",1,"Charlestown"
"553","0201460008",1,"Charlestown"
"554","0201460014",1,"Charlestown"
"555","0201463002",1,"Charlestown"
"556","0201464002",1,"Charlestown"
"557","0201466002",1,"Charlestown"
"558","0201478002",1,"Charlestown"
"559","0201487012",1,"Charlestown"
"560","0201490002",1,"Charlestown"
"561","0201513002",1,"Charlestown"
"562","0201513022",1,"Charlestown"
"563","0201513024",1,"Charlestown"
"564","0201513026",1,"Charlestown"
"565","0201513028",1,"Charlestown"
"566","0201513030",1,"Charlestown"
"567","0201513032",1,"Charlestown"
"568","0201513034",1,"Charlestown"
"569","0201513036",1,"Charlestown"
"570","0201513038",1,"Charlestown"
"571","0201513040",1,"Charlestown"
"572","0201513042",1,"Charlestown"
"573","0201513044",1,"Charlestown"
"574","0201513046",1,"Charlestown"
"575","0201513048",1,"Charlestown"
"576","0201513050",1,"Charlestown"
"577","0201513052",1,"Charlestown"
"578","0201513054",1,"Charlestown"
"579","0201513056",1,"Charlestown"
"580","0201524002",1,"Charlestown"
"581","0201537002",1,"Charlestown"
"582","0201550002",1,"Charlestown"
"583","0201556002",1,"Charlestown"
"584","0201557002",1,"Charlestown"
"585","0201560012",1,"Charlestown"
"586","0201562012",1,"Charlestown"
"587","0201574012",1,"Charlestown"
"588","0201574022",1,"Charlestown"
"589","0201578002",1,"Charlestown"
"590","0201580002",1,"Charlestown"
"591","0201581002",1,"Charlestown"
"592","0201582002",1,"Charlestown"
"593","0201586002",1,"Charlestown"
"594","0201587002",1,"Charlestown"
"595","0201588002",1,"Charlestown"
"596","0201590002",1,"Charlestown"
"597","0201591002",1,"Charlestown"
"598","0201598004",1,"Charlestown"
"599","0201604012",1,"Charlestown"
"600","0201604014",1,"Charlestown"
"601","0201617002",1,"Charlestown"
"602","0201631002",1,"Charlestown"
"603","0201633008",1,"Charlestown"
"604","0201647002",1,"Charlestown"
"605","0201655010",1,"Charlestown"
"606","0201655102",1,"Charlestown"
"607","0201655202",1,"Charlestown"
"608","0201655206",1,"Charlestown"
"609","0201657002",1,"Charlestown"
"610","0201658002",1,"Charlestown"
"611","0201659002",1,"Charlestown"
"612","0201660002",1,"Charlestown"
"613","0201661012",1,"Charlestown"
"614","0201662002",1,"Charlestown"
"615","0201662008",1,"Charlestown"
"616","0201684002",1,"Charlestown"
"617","0201696002",1,"Charlestown"
"618","0201715002",1,"Charlestown"
"619","0201720002",1,"Charlestown"
"620","0201721002",1,"Charlestown"
"621","0201723002",1,"Charlestown"
"622","0201724002",1,"Charlestown"
"623","0201724004",1,"Charlestown"
"624","0201724008",1,"Charlestown"
"625","0201729002",1,"Charlestown"
